System,Accuracy@1,Accuracy@3,Accuracy@5,MRR,Recall@1,Recall@3,Recall@5,accuracy,f1,precision,recall
TF-IDF + Cosine,0.7267,0.9483,0.9950,0.8394,0.7267,0.9483,0.9950,0.7267,0.7267,0.7267,0.7267
TF-IDF + Euclidean,0.7267,0.9483,0.9950,0.8394,0.7267,0.9483,0.9950,0.7267,0.7267,0.7267,0.7267
BM25,0.6967,0.9583,0.9917,0.8273,0.6967,0.9583,0.9917,0.6967,0.6967,0.6967,0.6967
TF-IDF + LR,0.7167,0.9383,0.9917,0.8291,0.7167,0.9383,0.9917,0.7167,0.7167,0.7167,0.7167
TF-IDF + RF,0.7400,0.9533,0.9883,0.8436,0.7400,0.9533,0.9883,0.7400,0.7400,0.7400,0.7400
