System,Accuracy@1,Accuracy@3,Accuracy@5,MRR,Recall@1,Recall@3,Recall@5,accuracy,f1,precision,recall
TF-IDF + Cosine,0.7244,0.9439,0.9850,0.8338,0.7244,0.9439,0.9850,0.7244,0.7244,0.7244,0.7244
TF-IDF + Euclidean,0.7244,0.9439,0.9850,0.8338,0.7244,0.9439,0.9850,0.7244,0.7244,0.7244,0.7244
BM25,0.7214,0.9539,0.9850,0.8393,0.7214,0.9539,0.9850,0.7214,0.7214,0.7214,0.7214
SBERT + Cosine,0.7615,0.9599,0.9870,0.8594,0.7615,0.9599,0.9870,0.7615,0.7615,0.7615,0.7615
SBERT + Euclidean,0.7615,0.9599,0.9870,0.8594,0.7615,0.9599,0.9870,0.7615,0.7615,0.7615,0.7615
